,İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
5580,Opel,Astra,1.4 T Enjoy Plus,2010.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,173000,81250
5581,Opel,Astra,1.4 T Enjoy Active,2014.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,48000,101250
5582,Opel,Insignia,1.6 CDTI  Elite,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,92000,157500
5583,Opel,Corsa,1.4 Twinport Enjoy,2012.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Bej ,Hatchback 5 Kapı,Galeriden,2. El,63000,88500
5584,Opel,Astra,1.3 CDTI Enjoy,2009.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,204000,49750
5585,Opel,Astra,1.6 CDTI Edition Plus,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,108000,111000
5586,Volkswagen,Polo,1.4 TDI Comfortline,2017.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,142000,123500
5587,Opel,Corsa,1.4 Essentia,2015.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,94000,96900
5588,Opel,Astra,1.6 Cabrio,1995.0,Benzin/LPG,Düz Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Üstü Açık / Cabriolet,Galeriden,2. El,250000,39500
5589,Opel,Insignia,2.0 CDTI Cosmo,2015.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,125000,149000
5590,Opel,Vectra,1.6 Comfort,2007.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,175000,71000
5591,Opel,Astra,1.6 Edition Plus,2017.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,14200,121500
5592,Opel,Vectra,2.0 CD,1998.0,Benzin/LPG,Düz Vites,1801-2000 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,279000,28000
5593,Opel,Vectra,1.6 Comfort,2001.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,290000,38500
5594,Opel,Antara,Diğer,2008.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Arazi Aracı,Galeriden,2. El,215000,86750
5595,Opel,Corsa,1.2 Swing,2000.0,Benzin/LPG,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,185000,36500
5596,Opel,Corsa,1.4 Twinport Essentia,2012.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,160000,81500
5597,Opel,Astra,1.6 Cosmo,2008.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,175000,72500
5598,Opel,Corsa,Diğer,2012.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,133000,72500
5599,Opel,Astra,1.4 T Sport,2011.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,185000,86900
5600,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,190000,199999
5601,Opel,Astra,1.3 CDTI Essentia,2008.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,172000,67500
5602,Opel,Corsa,1.4 GLS,1998.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,144000,39900
5603,Opel,Astra,1.3 CDTI Enjoy Plus,2011.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,192000,64000
5604,Opel,Vectra,1.8 GL,1994.0,Benzin/LPG,Düz Vites,1601-1800 cc,Bilmiyorum,Kırmızı ,Sedan,Galeriden,2. El,212000,23250
5605,Opel,Corsa,1.4 Enjoy,2017.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,38000,124000
5606,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
5607,Opel,Insignia,2.0 CDTI Edition,2011.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,210000,90000
5608,Opel,Astra,1.6 Enjoy,2007.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,230000,57750
5609,Opel,Insignia,1.6 CDTI  Elite,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,65000,184900
5610,Opel,Astra,1.4 Enjoy,2017.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,73000,121500
5611,Opel,Insignia,Diğer,2015.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,101000,156500
5612,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,82500,127000
5613,Opel,Insignia,1.6 CDTI  Grand Sport Elite,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,53000,216950
5614,Opel,Corsa,1.4 Enjoy,2015.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Sarı ,Hatchback 5 Kapı,Galeriden,2. El,49000,81900
5615,Opel,Insignia,2.0 CDTI Edition,2011.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,199000,82900
5616,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,63000,127500
5617,Opel,Insignia,1.6 CDTI  Design,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,132000,137500
5618,Opel,Astra,1.6 CDTI Design,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,55200,129000
5619,Opel,Astra,1.6 CDTI Design,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,94900,116000
5620,Opel,Grandland X,1.6 D Enjoy,2018.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Arazi Aracı,Galeriden,2. El,16000,214950
5621,Opel,Corsa,Diğer,2015.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,149900,79000
5622,Opel,Corsa,1.2 Edition,2020.0,Benzin,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,0 km,0,149000
5623,Opel,Astra,1.3 CDTI ecoFLEX Sport,2012.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,123000,98250
5624,Opel,Astra,1.3 CDTI Essentia Konfor,2010.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,178000,73750
5625,Opel,Corsa,1.4 Twinport Active,2014.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,97000,57900
5626,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1301-1600 cc,151-175 BG,Lacivert ,Sedan,Galeriden,2. El,52500,208500
5627,Opel,Astra,1.6 Edition,2014.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,57000,85900
5628,Opel,Insignia,1.6 CDTI  Grand Sport Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,62000,182750
5629,Opel,Insignia,1.6 T Edition,2009.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,164000,81750
5630,Opel,Insignia,1.6 CDTI  Grand Sport 120.Yıl,2019.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Bordo ,Hatchback 5 Kapı,Galeriden,2. El,4900,237500
5631,Opel,Astra,1.6 Edition Plus,2016.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,8800,126750
5632,Opel,Insignia,1.5 T Grand Sport Design,2017.0,Benzin,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Lacivert ,Sedan,Galeriden,2. El,11000,210000
5633,Opel,Astra,1.3 CDTI Enjoy 111.Yıl,2010.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,200000,72500
5634,Opel,Astra,1.4 T Edition Plus,2020.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,10544,144750
5635,Opel,Grandland X,1.5 D Enjoy Explorer,2020.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,10016,226500
5636,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,22000,128000
5637,Opel,Astra,1.4 GL,1997.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,245000,25750
5638,Opel,Astra,1.6 CDTI Cosmo,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,86200,115550
5639,Opel,Astra,1.3 CDTI Edition,2013.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,212000,80000
5640,Opel,Insignia,2.0 CDTI Edition Elegance,2011.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,240000,83500
5641,Opel,Astra,1.6 CDTI Dynamic,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,68000,163750
5642,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
5643,Opel,Corsa,1.4 Twinport Color Edition,2012.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,69000,78750
5644,Opel,Astra,1.4 Enjoy,2017.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,84000,114000
5645,Opel,Astra,1.6 Elegance,2003.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,168000,54900
5646,Opel,Vectra,1.8 GL,1992.0,Benzin/LPG,Düz Vites,1601-1800 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,258000,18500
5647,Opel,Corsa,1.4 Enjoy,2017.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,20000,108900
5648,Opel,Crossland X,1.6 CDTI Excellence,2018.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Arazi Aracı,Galeriden,2. El,20000,164900
5649,Opel,Insignia,Diğer,2015.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Yeşil ,Sedan,Galeriden,2. El,151000,158000
5650,Opel,Mokka,1.4 Enjoy,2015.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,56000,125900
5651,Opel,Vectra,Diğer,2006.0,Dizel,Düz Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,300000,49500
5652,Opel,Corsa,1.4 Design,2016.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,78000,89900
5653,Opel,Astra,1.6 Edition Plus,2016.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,25000,108750
5654,Opel,Corsa,1.2 Twinport Essentia,2009.0,Benzin,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,110000,53900
5655,Opel,Astra,1.6 Edition,2010.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,128000,83500
5656,Opel,Vectra,1.6 Elegance,2005.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,320000,49000
5657,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,82000,122000
5658,Opel,Astra,1.6 Edition,2017.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Şampanya ,Sedan,Galeriden,2. El,31000,110000
5659,Opel,Astra,1.6 CDTI Sport,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,110000,115750
5660,Opel,Astra,1.4 T Dynamic,2017.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,9700,157000
5661,Opel,Corsa,1.4 Enjoy,2016.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,40000,116500
5662,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
5663,Opel,Insignia,1.6 CDTI  Grand Sport Excellence,2017.0,Dizel,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,39000,199750
5664,Opel,Corsa,1.4 Twinport Enjoy,2011.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,79000,85250
5665,Opel,Insignia,2.0 CDTI Cosmo,2012.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,191500,108500
5666,Opel,Corsa,1.4 Color Edition,2015.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,17365,109800
5667,Opel,Astra,1.6 CDTI Enjoy Active,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,195000,102000
5668,Opel,Astra,1.6 CD,1999.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Sedan,Galeriden,2. El,300000,35500
5669,Opel,Corsa,Diğer,2014.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,140000,65500
5670,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,111000,122000
5671,Opel,Astra,1.6 CDTI Design,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,128000,123500
5672,Opel,Astra,1.4 T Enjoy,2016.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,77000,114500
5673,Opel,Astra,1.3 CDTI ecoFLEX Enjoy,2011.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,204000,71500
5674,Opel,Astra,1.6 CDTI Elite,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,140900,115500
5675,Opel,Astra,1.4 T Sport,2012.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,118000,102000
5676,Opel,Corsa,Diğer,2004.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,320000,35500
5677,Opel,Corsa,1.4 Twinport Enjoy,2012.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kahverengi ,Hatchback 5 Kapı,Galeriden,2. El,98000,85500
5678,Opel,Astra,1.6 CDTI Design,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,130000,119500
5679,Opel,Astra,1.3 CDTI Enjoy 111.Yıl,2011.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,254000,63000
5680,Opel,Insignia,1.6 T Edition Elegance,2011.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Lacivert ,Sedan,Galeriden,2. El,170000,89750
5681,Hyundai,I20,1.2 Team,2011.0,Benzin,Düz Vites,1300 cc ve altı,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,220000,49500
5682,Opel,Corsa,1.4 Enjoy,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,239000,37500
5683,Opel,Corsa,Diğer,2011.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,130000,69500
5684,Opel,Astra,1.6 Essentia,2011.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,86500,72000
5685,Opel,Vectra,Diğer,2005.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Gri ,Station Wagon,Galeriden,2. El,230000,43500
5686,Opel,Astra,1.6 CDTI Sport,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Bej ,Sedan,Galeriden,2. El,80000,139250
5687,Opel,Astra,1.6 CDTI Enjoy,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,57000,146900
5688,Opel,Insignia,1.6 CDTI  Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,41000,143950
5689,Opel,Insignia,Diğer,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,41640,169900
5690,Opel,Corsa,Diğer,2013.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,88768,64900
5691,Opel,Astra,1.3 CDTI Sport,2013.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,310000,81000
5692,Opel,Astra,1.6 CDTI Design,2018.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,78000,133500
5693,Opel,Corsa,1.4 Essentia,2015.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,47750,95990
5694,Opel,Corsa,1.2 Enjoy,2009.0,Benzin,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,109000,67900
5695,Opel,Astra,1.3 CDTI Essentia Konfor,2011.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,146945,82000
5696,Opel,Astra,1.3 CDTI Enjoy,2010.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,218000,51500
5697,Opel,Astra,1.6 Enjoy 111. Yıl,2010.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,250000,69500
5698,Opel,Astra,1.3 CDTI Sport,2012.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,105000,90500
5699,Opel,Astra,1.6 CDTI Design,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,79500,115750
5700,Opel,Corsa,1.4 Design,2019.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,29000,118500
5701,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1301-1600 cc,151-175 BG,Lacivert ,Sedan,Galeriden,2. El,52500,208500
5702,Opel,Astra,1.6 Essentia,2011.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,30000,89750
5703,Opel,Astra,1.6 CDTI Edition Plus,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,77000,123500
5704,Opel,Astra,1.3 CDTI Essentia Konfor,2011.0,Dizel,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,239000,73500
5705,Opel,Astra,1.6 Edition,2014.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,96000,96000
5706,Opel,Astra,1.6 Edition,2015.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,12000,118000
5707,Opel,Corsa,1.2 Twinport Essentia,2012.0,Benzin,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,46000,81500
5708,Opel,Insignia,2.0 CDTI Cosmo,2015.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Yeşil ,Sedan,Galeriden,2. El,77000,168000
5709,Opel,Astra,1.6 Cosmo,2011.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,125000,79500
5710,Opel,Astra,1.3 CDTI Enjoy Plus,2012.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,134000,72500
5711,Opel,Astra,1.6 Enjoy,2007.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,36000,79000
5712,Opel,Astra,1.6 CDTI Design,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,108000,133900
5713,Opel,Astra,1.3 CDTI Enjoy Plus,2012.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,96000,68750
5714,Opel,Vectra,2.0 DTI CD,2000.0,Dizel,Düz Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,202000,37000
5715,Opel,Vectra,2.0 CD,1998.0,Benzin/LPG,Düz Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,370000,27500
5716,Opel,Astra,1.3 CDTI Edition Plus,2015.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,88000,85000
5717,Opel,Astra,1.6 Edition,2013.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,153000,86500
5718,Opel,Corsa,Diğer,2014.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,35000,72500
5719,Opel,Vectra,1.8 GL,1992.0,Benzin/LPG,Düz Vites,1601-1800 cc,Bilmiyorum,Bordo ,Sedan,Galeriden,2. El,238000,18250
5720,Opel,Astra,1.3 CDTI Sport,2012.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,189000,81500
5721,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Gri ,Arazi Aracı,Galeriden,2. El,274654,162750
5722,Opel,Astra,1.6 CDTI Edition Plus,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,58685,105000
5723,Opel,Corsa,1.4 Color Edition,2015.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Sarı ,Hatchback 5 Kapı,Galeriden,2. El,69000,93500
5724,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,118000,123500
5725,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,89000,125750
5726,Opel,Astra,1.6 Edition Plus,2016.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,71000,74500
5727,Opel,Astra,1.4 T Edition Plus,2019.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,13250,121500
5728,Opel,Astra,1.6 Enjoy,2011.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,138500,68000
5729,Opel,Astra,1.6 CDTI Design,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,88000,119500
5730,Opel,Astra,1.6 CD,1999.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,229000,32500
